"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","A1BG",141.25492819049,0.00111000482970783,0.0813690055150861,0.972306847420006,0.990744910460166
"2","A1BG-AS1",33.5338678138571,0.00236140595758875,0.0863200503757018,0.895031590942951,NA
"3","A1CF",3.79555601654019,0.00277380700046092,0.0879387899848694,0.669415460684721,NA
"4","A2M",1.80643506628257,0.00240024285674757,0.0880782173293203,0.534157955429273,NA
"5","A2M-AS1",0.19827913921721,0.000680760553039877,0.0881086841832192,0.837474598311692,NA
"6","A2ML1",1.60686498808948,0.00206395020494526,0.0880577249710615,0.60694007507554,NA
"7","A2MP1",0.19827913921721,0.000680760553039877,0.0881086841832192,0.837474598311692,NA
"8","A3GALT2",2.15034746752424,0.000405558196143088,0.0880087937524231,0.92676654087484,NA
"9","A4GALT",68.7138098721531,-0.0496791623765447,0.103320503728138,0.0874003042028835,0.407768300927818
"10","A4GNT",1.59732863031496,0.000316532563089069,0.0880023444523375,0.943592433509623,NA
"11","AA06",0,NA,NA,NA,NA
"12","AAAS",2229.24405176482,-0.00542643809469152,0.0634134949453702,0.900822412067545,0.97307073675545
"13","AACS",1716.19611259311,-0.0361344830467172,0.0642470208196746,0.428308001857814,0.76831986569561
"14","AACSP1",59.2374063728502,0.0206147061140107,0.0881927364992694,0.376124551153182,NA
"15","AADAC",0.404796267169036,-0.000331503280268852,0.0880876917768238,0.890708390723847,NA
"16","AADACL2",0,NA,NA,NA,NA
"17","AADACL2_1",0,NA,NA,NA,NA
"18","AADACL2-AS1",0,NA,NA,NA,NA
"19","AADACL2-AS1_1",0,NA,NA,NA,NA
"20","AADACL3",0,NA,NA,NA,NA
"21","AADACL4",0,NA,NA,NA,NA
"22","AADACP1",0,NA,NA,NA,NA
"23","AADAT",363.311441604332,0.0241223298641782,0.0767200455580954,0.560627558508352,0.843159802699183
"24","AAGAB",1345.81101685038,0.0471638389028479,0.0694475033863587,0.316447684848845,0.688139246174482
"25","AAK1",1383.74077354634,0.0564009227361626,0.0761753624925545,0.243556926034411,0.627689184923248
"26","AAMDC",85.5051509196649,-0.0197331962334129,0.0863350612867169,0.468466778584434,0.795530694356748
"27","AAMP",8809.47610476943,-0.0745317832591287,0.0677630905582808,0.138754121446612,0.505191921781204
"28","AANAT",2.79850493543028,-0.00265259373681759,0.0879764922664445,0.64876641945836,NA
"29","AAR2",2445.88683585144,-0.0215512546706778,0.0620780240133686,0.628319835269189,0.876389759576369
"30","AARD",0,NA,NA,NA,NA
"31","AARS1",4268.78268963166,-0.0623977448822195,0.0619970150430889,0.182032550362559,0.568661263497138
"32","AARS2",1624.6329666852,-0.062939056970489,0.071893023339839,0.197287666423662,0.584491126582127
"33","AARSD1",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"34","AASDH",271.968849513191,0.0265416182462424,0.0811723195386963,0.491474746055318,0.808172429591592
"35","AASDHPPT",2835.54811009618,0.0740365594054436,0.0735266963742759,0.144127163121924,0.512094763541168
"36","AASS",456.686363239043,0.0661010958653002,0.0915776099550962,0.173984623734341,0.555916698088772
"37","AATBC",31.7760673486727,0.00164527934659373,0.0862141707312589,0.928838375460116,NA
"38","AATF",7.98438599176325,-0.00562728722064817,0.0878371507397201,0.560236790617265,NA
"39","AATF_1",0,NA,NA,NA,NA
"40","AATK",2288.18039789845,-0.179256697197971,0.127361285788861,0.0155118942515725,0.165594284533579
"41","ABALON",110.320280663322,-0.0491177200784422,0.100265409963625,0.133761460346749,0.497264430043124
"42","ABAT",7188.33955316142,0.442104520951304,0.0755861956942528,2.95321588229561e-10,2.89956579376724e-07
"43","ABCA1",1.79560776953217,0.00107866255106894,0.0880006354118802,0.816470348750348,NA
"44","ABCA10",5.15469907287671,0.0077749447647484,0.0883275324688714,0.286410278760145,NA
"45","ABCA11P",327.181944005172,-0.0171971990625241,0.0767744753092452,0.664049093727127,0.890964318755637
"46","ABCA12",11.5595441894442,0.0159334456938664,0.0896022621022661,0.140885234374831,NA
"47","ABCA13",0.61111227601948,0.000304788462639832,0.0880794396960653,0.895970802443832,NA
"48","ABCA17P",27.7515254406963,-0.00817940880015284,0.0869749664301978,0.627582167195469,NA
"49","ABCA2",2074.42662138996,-0.219713290625012,0.109456522835874,0.00420900288223973,0.0746844457207055
"50","ABCA3",31.9961902434,-0.0163591487931163,0.0882169194095287,0.380694873317269,NA
"51","ABCA4",23.5883650501006,0.00639104184357227,0.0869973079010248,0.684983830585479,NA
"52","ABCA5",54.0529441122479,0.0305459862721513,0.0926487402245596,0.179934963487006,NA
"53","ABCA6",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"54","ABCA7",686.745437020204,-0.0693623695634442,0.092511135278673,0.163451842656438,0.536918493797934
"55","ABCA8",0.989691373811359,0.00179604962550421,0.0880830941550274,0.570917575204066,NA
"56","ABCA9",1.19661445499796,-0.00108036528736593,0.0880417009109788,0.77290924914926,NA
"57","ABCA9-AS1",0,NA,NA,NA,NA
"58","ABCB1",0.797879526087575,-0.00061892936452409,0.0880692607739331,0.828011433046789,NA
"59","ABCB10",498.813459632533,-0.0118030419380371,0.0715780598725616,0.779122677707663,0.931374126293799
"60","ABCB11",4.58737719364215,0.00761945219893916,0.0883414873738157,0.267950686565302,NA
"61","ABCB11_1",0,NA,NA,NA,NA
"62","ABCB4",2.99290310189683,-0.00192208692758464,0.0879389380256707,0.746100739762098,NA
"63","ABCB5",2.18977414402016,-0.00441796262278592,0.0881399202169876,0.374380246894124,NA
"64","ABCB6",2838.66352700549,-0.0481852020049289,0.0651840765669605,0.30129459708275,0.676282474022543
"65","ABCB7",418.187725716679,0.0637918430146627,0.0910682739479304,0.172616940242064,0.553708900063162
"66","ABCB8",1386.93764531553,-0.0994275652420278,0.0955774525756508,0.0774283139470099,0.38435727066385
"67","ABCB9",85.9582330587697,-0.0198780831460187,0.0862367885486237,0.459855632089793,0.79018289113671
"68","ABCC1",327.686140895566,-0.0462836421822695,0.0863403699787947,0.282141935130922,0.660253549050386
