"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1","ABAT",7188.33955316142,0.442104520951304,0.0755861956942528,2.95321588229561e-10,2.89956579376724e-07
"2","ABHD15",838.498177123423,-0.314449458355413,0.117865108271601,0.000486004630733198,0.0177278840845156
"3","ABHD17A",3861.48720350232,-0.380064751924269,0.112307844071651,4.29513133985057e-05,0.00299439274829109
"4","ABI3",1347.77006864372,-0.305068740136878,0.100775346734952,0.000167548829289319,0.00847236183127363
"5","ADAM12",648.979286695074,-0.367837218442696,0.119930387035602,0.000128742884563454,0.00712135523909209
"6","ADAMTS2",108.927130213828,-0.639389333667314,0.26410468211785,0.000562034872012225,0.0192496943664187
"7","ADAMTS7",306.995211864156,-0.464673649697721,0.16141860723514,0.000190528345639466,0.00902197375797932
"8","ADGRA1",1358.5296649309,-0.301377033318145,0.104762293192378,0.000286441580339257,0.012160967927873
"9","ADGRA2",1779.92382380571,-0.305376744463023,0.117220148215497,0.000609577922088402,0.0204035428353567
"10","ADRM1",12486.2904101415,-0.278773070685726,0.08658977028178,0.000107110696000579,0.00621664147920602
"11","AGO4",559.840131999416,0.290614530663718,0.133844324412522,0.00176858360603929,0.043359983641661
"12","AHNAK2",590.639819743132,-0.311862848296486,0.13537825864422,0.00125299872344613,0.0344121933791195
"13","AJM1",776.060150478053,-0.334977348563214,0.143672456731904,0.00103921411361366,0.0300835889105557
"14","ALDH16A1",1699.89857647508,-0.533659206834415,0.128884360764163,1.87873513051672e-06,0.000299125098753351
"15","ALDH1A1",73.270994087917,1.14932740049315,0.331523129535286,2.00602174771709e-05,0.00179325089129573
"16","ANKRD13B",1012.43891322918,-0.463733584923641,0.121155284242945,7.20829451947687e-06,0.000824912945002388
"17","ANKRD46",561.401312314583,0.296355467544811,0.130637527299094,0.001394735317917,0.0371093710432037
"18","ANTKMT",1195.9936173225,-0.347736801755595,0.116386206167684,0.000174942320984876,0.00862414404118749
"19","ANXA1",802.610569162018,-0.469346613779705,0.110794209843194,1.27122280256449e-06,0.000237738842219282
"20","AQP3",537.650646306737,-0.368093148737829,0.133055698470317,0.00031710679666226,0.0129727509662318
"21","ARFGEF3",382.841280280873,-0.47152606356195,0.16200911864678,0.00017358708673903,0.00861706572719466
"22","ARHGAP15",112.256119535437,0.539431790711577,0.276284307312825,0.00156802884559173,0.0404256364524328
"23","ARHGDIA",19788.7711699517,-0.320908110692341,0.0888982791861913,1.78603872342342e-05,0.00165917183858229
"24","ARHGDIG",92.3547389541973,-0.578780875858689,0.308978074501914,0.00185926127283224,0.0445949960965803
"25","ARHGEF1",7154.30641282394,-0.368013249863503,0.0859211624471359,1.19001047546145e-06,0.000229847597080111
"26","ARID5A",2016.81292218285,-0.402179044485884,0.0991977549896436,3.11678182964562e-06,0.000447828335571765
"27","ATP13A2",2509.06977764835,-0.409410325825133,0.0899132384767066,3.43961594361686e-07,8.27052143830486e-05
"28","AURKAIP1",6828.06210629818,-0.314236347255854,0.102523826708636,0.000143548872381275,0.00768769461089175
"29","AXL",1632.08040636006,-0.332285340840878,0.0872264185223598,1.01646164018656e-05,0.00107883120338491
"30","B4GALNT4",2543.01692756363,-0.29585318657254,0.0989767464778339,0.000208871736026664,0.00968868816482738
"31","B4GALT2",7966.80583141645,-0.338940149387171,0.0941916497236647,2.25727070932567e-05,0.00195552672774081
"32","BCAT2",1889.37741149225,-0.289883843146028,0.104663650311767,0.000411889806048013,0.0156312775432617
"33","BCKDK",4367.89885881683,-0.289981956275569,0.0911185431732875,0.000114151930311703,0.00643511025326546
"34","BRAT1",4183.30373378926,-0.334652151978606,0.111633257121937,0.000177536391537048,0.008679393216139
"35","BRICD5",166.764435295697,-0.446410763434098,0.233510395823249,0.0020074514021727,0.046467175678583
"36","BTD",488.812572660327,-0.304046853965508,0.131257679444971,0.00124794773510761,0.0343535519042942
"37","C1QTNF2",3764.92874071774,-0.286282542160797,0.0920319142585076,0.000147298598201638,0.00781774425792731
"38","C1QTNF3",1037.51987948144,0.464207235152446,0.106930043535327,7.74873108179355e-07,0.00016032739835492
"39","C8orf82",1632.37111912277,-0.335333992893642,0.0991655639743213,4.92355876388792e-05,0.00337263775326323
"40","CAPN15",16039.8666911513,-0.289534754617587,0.113628090265643,0.000783540784716968,0.0243146666311831
"41","CARD10",8264.80307102006,-0.299897950362563,0.0862809787508259,3.68866067597849e-05,0.0026180602460469
"42","CASKIN1",753.438649364993,-0.432000797062593,0.131611188078363,5.64975083781845e-05,0.00373962721186387
"43","CASKIN2",2367.42182921332,-0.263423060396852,0.0959600737659642,0.000488468184067877,0.0177627535329868
"44","CASZ1",939.093277747978,-0.398412438656167,0.11480426772539,3.07709753699551e-05,0.00232399763980007
"45","CAVIN1",2226.24500178837,-0.444762851173934,0.0979191089059278,3.4314520833489e-07,8.27052143830486e-05
"46","CBARP",3671.42128029492,-0.451162280167075,0.106656112628268,1.39762441180229e-06,0.000250122666229028
"47","CBLB",2300.95580705629,0.319790787802676,0.0847343244921853,1.15259149745742e-05,0.00115881234768645
"48","CBX6",5562.53470839288,-0.390346414986254,0.0781615537062166,4.39470164173755e-08,1.67027015299845e-05
"49","CCDC85B",2226.99723887293,-0.323501504185733,0.130156942090118,0.000786274655107855,0.0243146666311831
